imputation,iteration,age,blood_pressure,specific_gravity,albumin,sugar,red_blood_cells,pus_cell,pus_cell_clumps,bacteria,blood_glucose_random,blood_urea,serum_creatinine,sodium,potassium,hemoglobin,packed_cell_volume,white_blood_cell_count,red_blood_cell_count,hypertension,coronary_artery_disease,appetite,pedal_edema,anemia
mode,0,0.0017249478260055184,0.00019969501590821892,0.23546001315116882,0.15375439822673798,0.0,0.0,0.0,0.0,0.0,0.004536724649369717,0.0018160368781536818,0.07004719227552414,0.01902760937809944,0.0030614668503403664,0.024650074541568756,0.0013181258691474795,0.042879872024059296,0.44152384996414185,0.0,0.0,0.0,0.0,0.0
mode,1,0.005072042811661959,0.000496489810757339,0.4186379015445709,0.15831583738327026,0.0,0.0,0.0,0.0,0.0,0.002643024316057563,0.003043040167540312,0.12655816972255707,0.010002399794757366,0.001274940907023847,0.058045919984579086,0.09465619921684265,0.001711387769319117,0.119542695581913,0.0,0.0,0.0,0.0,0.0
mode,2,0.0033423732966184616,0.002066010842099786,0.5487688779830933,0.05863909423351288,0.0,0.0,0.0,0.0,0.0,0.005539418663829565,0.0030616356525570154,0.09519992023706436,0.004240731243044138,0.00039688165998086333,0.09251917153596878,0.02172979526221752,0.00386048830114305,0.16063560545444489,0.0,0.0,0.0,0.0,0.0
mode,3,0.002979776356369257,0.0005344356177374721,0.30599698424339294,0.09504985809326172,0.0,0.0,0.0,0.0,0.0,0.008526074700057507,0.00940475519746542,0.04545200616121292,0.0024441583082079887,0.0020138302352279425,0.05640936642885208,0.050718821585178375,0.04553946107625961,0.3749305009841919,0.0,0.0,0.0,0.0,0.0
mode,4,0.0005862157559022307,0.0,0.604371190071106,0.12814517319202423,0.0,0.0,0.0,0.0,0.0,0.003952718339860439,0.019569752737879753,0.06593795865774155,0.0063780928030610085,0.0037070990074425936,0.11068840324878693,0.04125906154513359,0.0027347577270120382,0.012669560499489307,0.0,0.0,0.0,0.0,0.0
KNN,0,0.004410109482705593,0.0,0.21741914749145508,0.032961782068014145,0.0,0.0,0.0,0.0,0.0,0.10829540342092514,0.028329435735940933,0.08563997596502304,0.0036224680952727795,0.009507988579571247,0.3080635368824005,0.055971018970012665,0.0047176796942949295,0.0013787726638838649,0.0,0.0,0.13968266546726227,0.0,0.0
KNN,1,0.003327159211039543,0.0,0.15767019987106323,0.21675783395767212,0.0,0.0,0.0,0.0,0.0,0.005083098541945219,0.005418808665126562,0.064180888235569,0.03286583349108696,0.010356503538787365,0.3181524872779846,0.037158191204071045,0.0038994397036731243,0.003289231564849615,0.0,0.0,0.14184042811393738,0.0,0.0
KNN,2,0.02654263563454151,0.0,0.4616793394088745,0.04089178144931793,0.0,0.005148019641637802,0.0,0.0,0.0,0.014058631844818592,0.012167097069323063,0.1033373698592186,0.012492815032601357,0.021107487380504608,0.24371960759162903,0.05221181735396385,0.005603333935141563,0.0010401172330603004,0.0,0.0,0.0,0.0,0.0
KNN,3,0.016993394121527672,0.007132297847419977,0.21028409898281097,0.17618124186992645,0.0,0.0,0.0,0.0,0.0,0.021825963631272316,0.010717430151998997,0.06395075470209122,0.017468241974711418,0.01768524758517742,0.2631153464317322,0.04280557110905647,0.01382858119904995,0.010267009027302265,0.0,0.0,0.12774482369422913,0.0,0.0
KNN,4,0.006706442218273878,0.0,0.40237319469451904,0.034795988351106644,0.0,0.0,0.0,0.0,0.0,0.05117204412817955,0.01204604934900999,0.10573648661375046,0.006823425181210041,0.0019715051166713238,0.27413424849510193,0.08945582807064056,0.003953912761062384,0.010830897837877274,0.0,0.0,0.0,0.0,0.0
MICE,0,0.0005899668904021382,0.0,0.3650658428668976,0.1786884069442749,0.0,0.0,0.0,0.0,0.0,0.0,0.0005998887354508042,0.024939347058534622,0.00046430135262198746,0.0017168554477393627,0.4113612771034241,0.00987211987376213,0.002638882724568248,0.004063112661242485,0.0,0.0,0.0,0.0,0.0
MICE,1,0.0,0.0,0.37557417154312134,0.25177064538002014,0.0,0.0,0.0,0.0,0.0,0.006441169418394566,0.0008165428880602121,0.020981216803193092,0.0021466168109327555,0.002627512440085411,0.3142794370651245,0.008879472501575947,0.006926882546395063,0.009556353092193604,0.0,0.0,0.0,0.0,0.0
MICE,2,0.0,0.0006604736554436386,0.55660480260849,0.11130888760089874,0.0,0.0,0.0,0.0,0.0,0.0020693065598607063,0.0024219409096986055,0.028265269473195076,0.0008183183963410556,0.0011072688503190875,0.2669486701488495,0.02551657147705555,0.0014569227350875735,0.002821644302457571,0.0,0.0,0.0,0.0,0.0
MICE,3,0.0004269651253707707,0.0006619149353355169,0.40758460760116577,0.17085711658000946,0.0,0.0,0.0,0.0,0.0,0.0008542140130884945,0.0,0.029539501294493675,0.0006210993742570281,0.0014201973099261522,0.3687939941883087,0.011272559873759747,0.000723772041965276,0.007244063541293144,0.0,0.0,0.0,0.0,0.0
MICE,4,0.0,0.001639830181375146,0.5548287630081177,0.10380799323320389,0.0,0.0,0.0,0.0,0.0,0.003925429191440344,0.006161934230476618,0.05385049805045128,0.006212648004293442,0.0014135361416265368,0.25045567750930786,0.014419513754546642,0.00046811639913357794,0.002815965563058853,0.0,0.0,0.0,0.0,0.0
iterative,0,0.0005899668904021382,0.0,0.3650658428668976,0.1786884069442749,0.0,0.0,0.0,0.0,0.0,0.0,0.0005998887354508042,0.024939347058534622,0.00046430135262198746,0.0017168554477393627,0.4113612771034241,0.00987211987376213,0.002638882724568248,0.004063112661242485,0.0,0.0,0.0,0.0,0.0
iterative,1,0.0,0.0,0.37557417154312134,0.25177064538002014,0.0,0.0,0.0,0.0,0.0,0.006441169418394566,0.0008165428880602121,0.020981216803193092,0.0021466168109327555,0.002627512440085411,0.3142794370651245,0.008879472501575947,0.006926882546395063,0.009556353092193604,0.0,0.0,0.0,0.0,0.0
iterative,2,0.0,0.0006604736554436386,0.55660480260849,0.11130888760089874,0.0,0.0,0.0,0.0,0.0,0.0020693065598607063,0.0024219409096986055,0.028265269473195076,0.0008183183963410556,0.0011072688503190875,0.2669486701488495,0.02551657147705555,0.0014569227350875735,0.002821644302457571,0.0,0.0,0.0,0.0,0.0
iterative,3,0.0004269651253707707,0.0006619149353355169,0.40758460760116577,0.17085711658000946,0.0,0.0,0.0,0.0,0.0,0.0008542140130884945,0.0,0.029539501294493675,0.0006210993742570281,0.0014201973099261522,0.3687939941883087,0.011272559873759747,0.000723772041965276,0.007244063541293144,0.0,0.0,0.0,0.0,0.0
iterative,4,0.0,0.001639830181375146,0.5548287630081177,0.10380799323320389,0.0,0.0,0.0,0.0,0.0,0.003925429191440344,0.006161934230476618,0.05385049805045128,0.006212648004293442,0.0014135361416265368,0.25045567750930786,0.014419513754546642,0.00046811639913357794,0.002815965563058853,0.0,0.0,0.0,0.0,0.0
