imputation,iteration,age,blood_pressure,specific_gravity,albumin,sugar,red_blood_cells,pus_cell,pus_cell_clumps,bacteria,blood_glucose_random,blood_urea,serum_creatinine,sodium,potassium,hemoglobin,packed_cell_volume,white_blood_cell_count,red_blood_cell_count,hypertension,diabetes_mellitus,coronary_artery_disease,appetite,pedal_edema,anemia
mode,0,0.011279563371740447,0.0,0.1281527857258774,0.0,0.0,0.016666817519437358,0.0,0.0,0.0,0.03911591440699991,0.0029195952382649612,0.02537901758641601,0.024523495901215095,0.0,0.15331295758905394,0.5025883455537792,0.0,0.03408911520395552,0.061972391903260114,0.0,0.0,0.0,0.0,0.0
mode,1,0.0,0.0,0.17225840336134451,0.052426470588235324,0.0,0.0,0.0,0.0,0.0,0.021882352941176467,0.0448853005276125,0.0013030685161832833,0.0,0.0,0.6692698771816419,0.03797452688380593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode,2,0.013626373626373624,0.0,0.10894482084331711,0.032126465971003756,0.0,0.0,0.0,0.0,0.0,0.0,0.029302802766353574,0.0,0.003313517084008896,0.0,0.1551064830756059,0.5995453179177577,0.01678248222365871,0.041251736491920744,0.0,0.0,0.0,0.0,0.0,0.0
mode,3,0.0,0.013453131027388453,0.20498072480842794,0.017691788748346426,0.0,0.0,0.0,0.0,0.0,0.011958338691011957,0.003490015150583406,0.0,0.01746499009431988,0.014350006429214347,0.6899755592862242,0.004200214358689754,0.0,0.022435231405793638,0.0,0.0,0.0,0.0,0.0,0.0
mode,4,0.0,0.011683417085427134,0.19500453917016206,0.0,0.0,0.0,0.0,0.0,0.0,0.01402010050251256,0.019278819811831202,0.001359708022872997,0.016859501298602614,0.0,0.016676245849704695,0.5037849413205268,0.017251295540201005,0.14015015969035527,0.06393127170780373,0.0,0.0,0.0,0.0,0.0
KNN,0,0.0,0.012689508793208003,0.1731373638564984,0.22935781006154696,0.016715497526796064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526988774659204,0.00412137892428973,0.011279563371740447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,1,0.0,0.0,0.28922661354530305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4773692950233986,0.051058823529411775,0.0,0.15022542279254913,0.01414883061658394,0.0,0.0,0.0,0.01797101449275363,0.0,0.0,0.0,0.0
KNN,2,0.02043956043956044,0.0,0.2077784022057547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023994266602962243,0.0,0.0,0.6659663391379322,0.016933938154868412,0.0,0.0,0.06488749345892204,0.0,0.0,0.0,0.0,0.0
KNN,3,0.0,0.0,0.2126039057939564,0.034905421044034934,0.0,0.0,0.0,0.0,0.0,0.011958338691011957,0.0,0.0931180738141617,0.0,0.011958338691011957,0.6026029860511136,0.0,0.015695319531953193,0.017157616382756292,0.0,0.0,0.0,0.0,0.0,0.0
KNN,4,0.0,0.0,0.2892171989952612,0.09136454122114336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5020089525424786,0.015334484924623118,0.0,0.08228603462805151,0.0028113222361809413,0.0,0.01697746545226131,0.0,0.0,0.0,0.0,0.0,0.0
MICE,0,0.0,0.0,0.17666786003930823,0.04892340739550078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012689508793208007,0.6962581769780488,0.03613522636586704,0.0,0.029325820428067195,0.0,0.0,0.0,0.0,0.0,0.0
MICE,1,0.0,0.0,0.18168434967127,0.05111667161457235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6953713778829095,0.04482145444964111,0.0,0.009020650813516823,0.0,0.0,0.0,0.0,0.017985495568090214,0.0
MICE,2,0.012774725274725276,0.0,0.14153153077925115,0.03244869242255998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7589242586051097,0.0,0.0,0.037495544995544965,0.0,0.0,0.0,0.0,0.016825247922808928,0.0
MICE,3,0.00896875401825897,0.0,0.21424120434021432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7329625819724829,0.0,0.0,0.008872315803008925,0.0,0.01770455338669302,0.0,0.0,0.01725059047934191,0.0
MICE,4,0.0,0.0,0.26608671106924797,0.032537352088420735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497661418355514,0.017424982053122706,0.0,0.0,0.0,0.0,0.0,0.016878751395868224,0.017306061557788924,0.0
iterative,0,0.0,0.0,0.17666786003930823,0.0,0.0,0.0,0.0,0.0,0.0,0.012689508793208007,0.0,0.0,0.0,0.0,0.6962581769780488,0.03613522636586704,0.012689508793208007,0.016636311634859194,0.04892340739550078,0.0,0.0,0.0,0.0,0.0
iterative,1,0.0,0.0,0.18168434967127,0.05111667161457235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6953713778829095,0.03570380739081758,0.0,0.01813829787234035,0.0,0.0,0.0,0.0,0.017985495568090214,0.0
iterative,2,0.0,0.0,0.15430625605397644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7589242586051097,0.0,0.0,0.037495544995544965,0.0,0.03244869242255998,0.0,0.0,0.016825247922808928,0.0
iterative,3,0.0,0.0,0.21424120434021432,0.0,0.0,0.0,0.0,0.0,0.0,0.00896875401825897,0.0,0.0,0.0,0.0,0.7329625819724829,0.0,0.0,0.008872315803008925,0.0,0.01770455338669302,0.0,0.0,0.01725059047934191,0.0
iterative,4,0.0,0.0,0.26608671106924797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497661418355514,0.017424982053122706,0.0,0.0,0.032537352088420735,0.0,0.0,0.016878751395868224,0.017306061557788924,0.0
